,0
car,2863
like,1711
cars,1434
bmw,1424
would,1415
one,1302
get,1266
tl,1264
-,1222
think,1170
g35,929
new,892
i'm,852
much,832
even,821
better,816
drive,795
people,768
3,729
really,728
good,716
performance,658
know,654
driving,652
want,644
still,594
also,591
say,562
make,550
rwd,534
see,523
luxury,522
buy,501
could,497
many,484
that's,481
go,479
going,472
best,470
great,465
sedan,450
way,444
fwd,440
engine,437
i've,431
it.,426
test,426
car.,418
time,418
back,417
330i,415
look,414
well,407
take,405
less,402
price,400
got,394
may,391
never,389
acura,387
two,386
g,385
interior,379
power,376
series,371
awd,370
can't,369
i'd,369
little,361
manual,361
infiniti,357
feel,351
need,351
sport,345
lexus,340
hp,339
different,334
sales,333
around,328
every,322
sure,320
handling,320
lot,313
getting,312
looking,311
torque,307
something,304
years,304
probably,303
since,301
point,299
right,295
said,295
last,294
"car,",287
maybe,284
makes,280
believe,279
first,276
another,275
thing,273
tires,263
find,262
driven,261
without,260
always,259
5,259
pretty,258
i'll,258
drove,253
road,253
actually,251
long,250
love,250
big,249
might,246
nice,244
made,243
seems,241
&,241
looks,240
used,239
cars.,237
guess,236
snow,235
audi,233
agree,231
top,230
gas,229
come,228
far,228
a4,227
put,227
front,227
difference,224
ever,223
almost,222
nothing,221
cts,220
sports,219
old,218
auto,218
real,218
give,217
coupe,217
keep,216
class,215
mb,215
high,213
hard,212
speed,211
me.,211
6,211
tsx,210
least,209
enough,209
things,208
fun,207
year,204
quite,204
next,203
read,202
bit,201
2,200
anyone,200
bad,199
value,199
anything,198
us,198
fact,198
based,198
talking,196
dont,195
bought,195
miles,192
vehicle,190
comes,190
325i,189
"tl,",185
japanese,184
nissan,180
numbers,179
package,179
is300,179
"it,",178
use,177
either,176
buying,175
rear,173
honda,173
mean,172
brand,172
330,170
compared,170
cost,168
winter,167
tl.,167
others,167
end,166
must,166
0-60,165
thought,164
mph,164
4,164
gets,163
x-type,163
someone,163
automatic,162
level,162
worth,161
money,160
mileage,157
"regards,shipo",156
steering,155
there's,155
live,155
care,155
pay,154
"however,",154
seat,154
reliability,154
dealer,153
else,153
entry,153
accord,152
saab,152
tell,151
.,151
experience,149
rather,149
weight,149
system,148
seem,148
they're,147
"g35,",147
vehicles,147
try,146
reason,145
vs,145
extra,145
driver,144
sedans,143
fast,143
"cars,",143
etc.,142
yet,141
"bmw,",140
close,140
simply,140
"me,",140
though,140
near,140
seen,138
second,138
m3,138
trying,138
found,137
ride,137
work,137
line,136
quality,136
compare,136
everything,136
day,136
let,135
mpg,133
faster,133
post,133
problem,133
world,132
standard,132
felt,132
comparison,132
market,131
set,131
"""i",131
v6,131
wheel,129
mercedes,128
especially,128
2004,128
fuel,128
consider,127
model,127
unless,127
low,126
saying,126
wanted,125
everyone,125
came,125
number,122
premium,122
sell,122
american,122
higher,121
done,120
problems,120
them.,120
part,120
"well,",120
3-series,120
transmission,119
track,119
prefer,118
sold,118
"yes,",118
understand,117
discussion,117
opinion,116
small,116
true,115
enjoy,115
making,115
three,115
certainly,114
drivers,114
choice,114
seats,114
mind,114
volvo,114
bmw's,114
times,113
add,112
expensive,112
current,112
that.,112
change,112
size,111
overall,111
matter,111
comparing,111
vs.,111
"performance,",111
g35.,110
side,110
wheels,109
definitely,108
owners,108
german,108
available,108
race,108
wrong,107
wife,107
lux,106
whole,106
given,106
(i,105
subaru,105
already,104
highway,104
went,104
bmws,104
heard,104
10,103
run,103
owned,103
bmw.,103
course,103
hope,102
"again,",102
type,102
able,102
equipped,102
interesting,102
buyers,101
"handling,",101
features,101
60,101
1,100
couple,100
legacy,99
check,99
well.,99
sedan.,99
average,99
toyota,99
g35x,99
traction,99
needs,98
"that,",98
styling,98
kind,97
similar,97
away,97
beat,97
due,96
safety,96
looked,96
suspension,95
7,95
several,95
is350,95
although,95
"is,",95
cts-v,94
considered,94
start,94
msrp,94
one.,94
=,94
body,94
--,93
"said,",93
design,93
mention,93
smaller,93
says,93
sti,93
e90,92
325,92
cr,92
taking,92
2005,92
3.0,92
spend,91
list,91
(and,91
left,90
sound,90
coming,90
?,90
service,89
vw,89
tire,89
acceleration,89
issue,89
gear,89
loaded,88
means,88
"so,",88
per,88
offer,88
expect,88
time.,88
turn,88
fine,88
stop,86
c,86
thanks,86
plus,86
place,86
talk,86
drives,86
guys,86
important,86
turbo,86
personal,86
engines,85
remember,85
guy,85
help,85
"you,",85
here.,85
lease,84
hear,84
"""the",84
"now,",84
feels,84
hit,83
terms,83
nearly,83
happy,83
selling,82
tranny,82
except,82
out.,82
too.,82
show,82
bimmer,82
car's,81
is.,81
deal,81
call,81
you.,81
maxima,80
previous,80
thinking,80
leather,80
:p,80
past,80
let's,80
exactly,79
light,79
excellent,79
exterior,79
hyundai,79
days,79
steer,79
european,78
head,78
drive.,78
gm,78
family,78
reliable,78
behind,78
options,78
board,77
question,77
goes,77
considering,77
whether,77
version,76
liked,76
including,76
base,76
"course,",76
bigger,76
"engine,",76
within,76
powerful,76
300,76
person,76
issues,75
we're,75
(or,75
fit,75
tested,75
usually,75
company,75
choose,74
nav,74
cadillac,74
lots,74
series.,74
folks,74
finally,74
full,74
there.,74
street,74
called,73
es,73
530i,73
willing,73
months,73
saw,73
"series,",73
handle,73
9-3,72
according,72
yes,72
passat,72
using,72
stick,72
lower,72
certain,71
sounds,71
magazine,71
takes,71
shift,71
mentioned,71
what's,71
smooth,71
traffic,71
dealers,70
prices,70
major,70
along,70
cannot,70
costs,70
offers,70
total,69
330i.,69
control,69
tires.,69
review,68
(,68
2003,68
free,68
recent,68
2006,68
paid,68
clutch,68
pick,67
"all,",67
wait,67
"but,",67
serious,67
c&d,67
reviews,67
paying,67
edmunds,67
performance.,66
horsepower,66
